X	Y	H
76,560862794	175,78257263	38
211,14792652	270,830407446	26
405,493464766	303,404747114	65
129,124240009	221,061515376	63
440,583028966	328,736370699	15
91,0757038	176,71324882	74
414,840347397	271,2075926	56
61,330562416	186,213596881	73
363,985744731	314,130066272	8
123,481425072	160,235452191	8
363,039056404	268,282622154	58
90,53708829	185,691733954	77
51,448808099	199,336880608	58
76,689485007	198,802243708	40
141,843695003	210,869906964	25
399,479445698	267,72779907	69
428,999432725	287,91505454	29
382,755995045	346,632009836	57
138,103944104	172,314965875	23
67,160121779	174,99015677	41
57,167229712	217,574129611	48
298,348458017	282,845085246	69
140,496767494	179,389602332	35
126,835023135	173,552725242	1
358,824413646	317,933198981	10
63,819081855	203,365854804	74
393,883777291	286,954692768	37
58,774837856	190,656365846	5
77,764176357	185,940273076	19
370,605588621	261,232568841	15
434,011533896	259,226535777	73
422,552334504	264,891263337	6
128,992829928	218,891973826	43
424,354173836	272,294820809	68
65,674582271	245,715010024	3
422,280827524	295,063632701	48
287,386016262	226,059380326	13
106,17228316	197,088939625	49
84,431788155	158,198005524	7
74,677798769	194,351941414	22
130,996531239	193,272141806	59
390,753539997	286,698995408	37
438,418675395	264,569106845	53
355,537342422	337,469579739	57
97,513462113	219,17955534	60
437,326830992	265,937934544	4
447,925041708	309,390694024	17
114,419649851	187,070213089	72
140,624382855	246,79793408	40
390,829800135	259,758073189	50
99,540398386	237,015967158	21
69,531799489	210,555144102	48
449,639742216	322,72355341	26
350,293656811	341,077294476	27
426,649141906	289,452610602	4
78,212404776	192,937487384	47
70,651159026	191,440805114	68
128,65844163	179,852021872	65
420,299826362	253,128316395	53
426,763947111	275,370515895	18
447,19192651	339,758556052	38
106,065509541	230,551226754	52
133,566386059	150,273323804	55
143,38015611	202,897497431	70
139,469891176	151,008916414	12
90,4867219	153,391358817	53
411,544258362	316,799760129	34
377,094634262	277,042059799	67
61,014902737	203,087233684	38
369,562867479	265,806274263	54
112,093429436	241,668418744	57
72,827149566	240,826114915	57
148,32420689	238,434004313	51
413,426145335	327,963024461	1
386,163590539	331,718014964	59
416,413689715	280,875134203	12
59,929782622	218,275978401	17
134,959425072	191,920022593	54
79,321561022	204,373169902	18
371,497582654	301,995264437	7
365,894040147	343,97516078	58
129,46412744	249,884479679	42
368,150455001	293,858431766	42
436,934376223	276,182199887	46
121,065190235	174,216601683	72
114,479734406	198,671391676	25
122,912592289	192,167709927	57
428,699173116	327,81467935	17
147,70503193	232,842210207	65
137,462177494	202,777522641	33
401,629668498	253,622827587	57
208,727574632	296,207358454	25
135,872456797	193,960623231	72
107,667841044	232,827489629	66
77,485872259	204,593385362	61
74,931021698	212,720915052	9
407,187153938	286,425671604	59
145,038519285	211,671609414	60
66,067451246	236,460663325	47
207,026740213	265,788196524	9
